,Area,X,Y,Z,Clusters,Cells
0,66,1017.3484848484848,468.6363636363636,63.63636363636363,8,Unknown
1,30,969.3666666666668,441.6333333333333,64.0,8,Unknown
2,66,925.3636363636364,528.5,63.63636363636363,1,Unknown
3,139,915.0719424460432,566.043165467626,63.36690647482014,1,Unknown
4,39,912.1282051282052,529.8717948717949,64.0,8,Unknown
5,32,899.625,629.84375,64.0,8,Unknown
6,107,899.0747663551402,476.95327102803736,63.30841121495328,8,Unknown
7,116,897.3965517241379,509.4051724137931,63.3448275862069,8,Unknown
8,129,889.1395348837209,480.6046511627907,63.333333333333336,8,Unknown
9,33,888.7272727272727,632.1515151515151,64.0,8,Unknown
10,83,883.1927710843373,449.51807228915663,63.42168674698795,8,Unknown
11,123,882.7886178861788,435.5284552845528,63.284552845528445,8,Unknown
12,154,875.8506493506494,638.9285714285714,63.41558441558442,12,MMP9 High cells
13,88,875.9886363636364,622.7727272727273,63.5,2,Potentially fibroblasts (fibronectin)
14,63,875.047619047619,432.6984126984127,63.58730158730159,8,Unknown
15,27,872.4814814814815,420.1111111111111,64.0,8,Unknown
16,45,865.7111111111111,619.1333333333333,64.0,3,Unknown
17,92,862.2717391304348,654.6739130434783,63.3695652173913,12,MMP9 High cells
18,50,861.02,630.08,64.0,12,MMP9 High cells
19,78,860.9230769230769,556.3461538461538,63.743589743589745,1,Unknown
20,47,860.7021276595744,543.2978723404256,64.0,5,Unknown
21,97,855.2783505154639,659.8453608247422,63.381443298969074,12,MMP9 High cells
22,67,853.1641791044776,629.2835820895523,63.70149253731344,12,MMP9 High cells
23,89,853.3595505617977,609.2471910112359,63.348314606741575,1,Unknown
24,30,851.0,400.5,64.0,8,Unknown
25,143,850.4265734265734,648.6013986013986,63.70629370629371,7,Unknown
26,56,848.4464285714286,636.8928571428571,63.607142857142854,1,Unknown
27,27,845.3703703703703,643.1111111111111,64.0,7,Unknown
28,78,844.4102564102565,462.0512820512821,63.43589743589744,8,Unknown
29,62,842.258064516129,609.6774193548387,64.0,5,Unknown
30,126,838.6587301587301,672.4920634920635,63.23809523809524,5,Unknown
31,105,838.1904761904761,591.7047619047619,63.31428571428572,1,Unknown
32,105,832.8285714285714,640.4666666666667,63.63809523809524,7,Unknown
33,91,833.5384615384615,602.3516483516484,63.73626373626374,17,Cytotoxic T cells (CD8a)
34,26,831.2307692307693,683.7692307692307,64.0,1,Unknown
35,56,831.1607142857143,479.75,64.0,1,Unknown
36,51,829.9019607843137,630.7450980392157,64.0,7,Unknown
37,52,827.5192307692307,456.5384615384616,64.0,1,Unknown
38,50,827.5,439.36,64.0,7,Unknown
39,69,826.3913043478261,678.6231884057971,63.594202898550726,8,Unknown
40,59,825.7796610169491,580.5932203389831,64.0,10,"Potentially breast cancer (PanCK, GATA3)"
41,30,822.9333333333333,570.0,64.0,1,Unknown
42,74,821.0945945945946,381.7567567567568,63.648648648648646,1,Unknown
43,78,818.6538461538462,669.6282051282051,63.48717948717949,8,Unknown
44,109,819.3577981651376,600.954128440367,63.28440366972477,7,Unknown
45,101,817.1782178217821,503.53465346534654,63.742574257425744,1,Unknown
46,54,817.2407407407408,573.3333333333334,64.0,5,Unknown
47,77,814.2077922077922,626.987012987013,63.79220779220778,1,Unknown
48,46,814.8695652173913,613.6304347826087,64.0,5,Unknown
49,73,815.5205479452055,444.958904109589,63.726027397260275,7,Unknown
50,140,815.0428571428571,337.17857142857144,63.32857142857143,8,Unknown
51,44,810.7954545454545,434.1136363636364,64.0,8,Unknown
52,109,810.2935779816514,655.6238532110092,62.972477064220186,12,MMP9 High cells
53,196,809.5714285714286,644.6071428571429,62.51020408163265,7,Unknown
54,38,810.3421052631579,600.6052631578947,64.0,1,Unknown
55,115,809.9826086956522,473.3478260869565,63.35652173913043,1,Unknown
56,56,808.3928571428571,583.125,64.0,1,Unknown
57,49,804.6938775510204,651.6122448979592,64.0,12,MMP9 High cells
58,37,804.1891891891892,398.4324324324325,64.0,8,Unknown
59,46,803.6521739130435,563.6304347826087,64.0,1,Unknown
60,60,803.05,556.1666666666666,64.0,4,Potentially fibroblasts (fibronectin)
61,59,802.5593220338983,498.3728813559322,64.0,1,Unknown
62,84,800.3928571428571,638.9404761904761,63.523809523809526,7,Unknown
63,45,799.5777777777778,522.4666666666667,64.0,1,Unknown
64,92,799.1521739130435,596.3695652173913,64.0,5,Unknown
65,46,799.0869565217391,574.195652173913,64.0,1,Unknown
66,61,795.639344262295,667.9508196721312,63.67213114754098,0,Some T cells (CD3)
67,68,794.9264705882352,620.5882352941177,64.0,7,Unknown
68,58,794.5172413793103,577.9827586206897,63.241379310344826,1,Unknown
