,X,Y,Z,cluster,cell
440,82.53374568093085,-19.71098161411851,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
473,68.38699515682191,90.30369343829238,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
545,35.83143960126631,43.33332306792204,36.369363940817415,6,"Breast cancer cells (PanCK, GATA3)"
551,32.68421737904407,34.00647121607017,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
552,32.7443525141793,5.378768513367504,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
559,29.186140455967177,55.38147121607017,36.57905055050403,6,"Breast cancer cells (PanCK, GATA3)"
623,6.466360236186858,84.02432835892739,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
668,-10.601308936745397,75.97620805817553,36.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
3035,53.214480536938765,-43.47116036287707,30.391196299491888,6,"Breast cancer cells (PanCK, GATA3)"
3384,86.15159026040004,-20.198189800878936,30.07005446184693,6,"Breast cancer cells (PanCK, GATA3)"
3463,-73.17252865270194,-3.720116085517134,30.330210501663984,6,"Breast cancer cells (PanCK, GATA3)"
3738,77.28870455853126,-43.89288775828874,29.020076191529668,6,"Breast cancer cells (PanCK, GATA3)"
3757,66.08255071237744,-38.2518621172631,28.197512088965567,6,"Breast cancer cells (PanCK, GATA3)"
3779,52.49446328068342,-54.85295501343796,28.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
3838,0.3884381582648757,47.386666021265,27.229200400653887,6,"Breast cancer cells (PanCK, GATA3)"
3839,-0.858867727338918,-31.360018145631898,28.481341876199608,6,"Breast cancer cells (PanCK, GATA3)"
3845,-3.149647869182843,59.92544284727592,29.24375322371734,6,"Breast cancer cells (PanCK, GATA3)"
3955,-93.48233191673063,-19.298810474070592,28.748498004458526,6,"Breast cancer cells (PanCK, GATA3)"
4163,101.81211592976871,-27.237369363639914,28.057608707323055,6,"Breast cancer cells (PanCK, GATA3)"
