Metal Tag,Target,clean_target,Antibody Clone,Final Concentration / Dilution,singleTIFFs,MeasureMask
Y89,antibody_didnt_work_channel_acquired,antibody_didnt_work_channel_acquired,NaN,NaN,0,0
Ru96,Ru96,Ru96,NaN,2 ug/mL,0,0
Ru98,Ru98,Ru98,NaN,2 ug/mL,0,0
Ru99,Ru99,Ru99,NaN,2 ug/mL,0,0
Ru100,Ru100,Ru100,NaN,2 ug/mL,0,0
Ru101,Ru101,Ru101,NaN,2 ug/mL,1,0
Ru102,Ru102,Ru102,NaN,2 ug/mL,0,0
Ru104,Ru104,Ru104,NaN,2 ug/mL,0,0
In113,Histone H3,Histone H3,D1H2,2 ug/mL,1,1
In115,antibody_didnt_work_channel_acquired,antibody_didnt_work_channel_acquired,NaN,NaN,0,0
La139,H3K27me3,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Pr141,Cytokeratin 5,CK5,EP1601Y,2 ug/mL,1,1
Nd143,Cytokeratin 19,CK19,Troma-III,6 ug/mL,1,1
Nd144,Cytokeratin 8/18,CK8/18,C51,4 ug/mL,1,1
Nd145,antibody_didnt_work_channel_acquired,antibody_didnt_work_channel_acquired,NaN,NaN,0,0
Nd146,CD68,CD68,KP1,3 ug/mL,1,1
Sm147,Keratin 14 (KRT14),CK14,polyclonal_PA5-16722 USE CLONE LL002,NaN,1,1
Nd148,SMA,SMA,1A4,2 ug/mL,1,1
Sm149,Vimentin,Vimentin,D21H3,2 ug/mL,1,1
Nd150,CD138 (Syndecan-1),CD138,MI15,8 ug/mL,1,1
Eu151,c-erbB-2 - Her2,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Sm152,CD3 epsilon,CD3,D7A6E,2 ug/mL,1,1
Eu153,Histone H3,phospho-H3,HTA28,2 ug/mL,1,1
Sm154,Erk1/2,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Gd155,antibody_didnt_work_channel_acquired,antibody_didnt_work_channel_acquired,NaN,NaN,0,0
Gd156,c-erbB-2 - Her2,HER2 (bis),29D8,4 ug/mL,1,1
Gd158,Gsk3,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Gd160,CD44,CD44,IM7,2 ug/mL,1,1
Dy161,Myeloperoxidase MPO,MPO,Polyclonal MPO,2 ug/mL,1,1
Dy162,CD45,CD45,2B11,8 ug/mL,1,1
Dy163,antibody_didnt_work_channel_acquired,antibody_didnt_work_channel_acquired,NaN,NaN,0,0
Dy164,CD20,CD20,L26,8 ug/mL,1,1
Ho165,CD8a,CD8a,C8/144B,8 ug/mL,1,1
Er166,Carbonic Anhydrase IX,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Er167,Collagen I,Collagen I,Polyclonal_Collagen I,2 ug/mL,1,1
Er168,Ki-67,Ki-67,B56,4 ug/mL,1,1
Tm169,EGFR,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Er170,SAPK/JNK,antibody_didnt_work_channel_acquired,NaN,NaN,1,0
Yb171,Phospho-S6,pS6,D57.2.2E,4 ug/mL,1,1
Yb172,VWF + CD31,vWF+ CD31,poly vwf + JC70A,8 ug/mL + 6 ug/mL,1,1
Yb173,E-Cadherin / P-Cadherin,E/P-Cadherin,36/E-Cadherin,4 ug/mL,1,1
Yb174,Cytokeratin 7,CK7,RCK105,6 ug/mL,1,1
Lu175,Keratin Epithelial,panCK,AE3 + AE1,0.5 ug/mL + 4 ug/mL,1,1
Yb176,cleaved PARP + Cleaved Caspase3,cPARP+cCasp3,F21-852 + C92-605,6 ug/mL + 6 ug/mL,1,1
Ir191,Ir191,Ir191,NaN,NaN,1,0
Ir193,Ir193,Ir193,NaN,NaN,1,1
