area,x,y,z,cluster,cell
66.0,1017.3484848484848,468.6363636363636,63.63636363636363,2,Unknown
30.0,969.3666666666668,441.6333333333333,64.0,2,Unknown
66.0,925.3636363636364,528.5,63.63636363636363,2,Unknown
139.0,915.0719424460432,566.043165467626,63.36690647482014,2,Unknown
39.0,912.1282051282052,529.8717948717949,64.0,8,Unknown
32.0,899.625,629.84375,64.0,2,Unknown
107.0,899.0747663551402,476.95327102803736,63.30841121495328,2,Unknown
116.0,897.3965517241379,509.4051724137931,63.3448275862069,2,Unknown
129.0,889.1395348837209,480.6046511627907,63.333333333333336,2,Unknown
33.0,888.7272727272727,632.1515151515151,64.0,2,Unknown
83.0,883.1927710843373,449.51807228915663,63.42168674698795,2,Unknown
123.0,882.7886178861788,435.5284552845528,63.28455284552845,2,Unknown
154.0,875.8506493506494,638.9285714285714,63.41558441558441,13,"Activated myeloid cells (MMP9, CD33)"
88.0,875.9886363636364,622.7727272727273,63.5,1,Unknown
63.0,875.047619047619,432.6984126984127,63.58730158730159,2,Unknown
27.0,872.4814814814815,420.1111111111111,64.0,8,Unknown
45.0,865.7111111111111,619.1333333333333,64.0,6,Unknown
92.0,862.2717391304348,654.6739130434783,63.369565217391305,13,"Activated myeloid cells (MMP9, CD33)"
50.0,861.02,630.08,64.0,9,Vascular progenitors cells
78.0,860.9230769230769,556.3461538461538,63.74358974358975,2,Unknown
47.0,860.7021276595744,543.2978723404256,64.0,0,Unknown
97.0,855.2783505154639,659.8453608247422,63.381443298969074,13,"Activated myeloid cells (MMP9, CD33)"
67.0,853.1641791044776,629.2835820895523,63.70149253731344,13,"Activated myeloid cells (MMP9, CD33)"
89.0,853.3595505617977,609.2471910112359,63.348314606741575,2,Unknown
30.0,851.0,400.5,64.0,8,Unknown
143.0,850.4265734265734,648.6013986013986,63.70629370629371,13,"Activated myeloid cells (MMP9, CD33)"
56.0,848.4464285714286,636.8928571428571,63.60714285714285,0,Unknown
27.0,845.3703703703703,643.1111111111111,64.0,9,Vascular progenitors cells
78.0,844.4102564102565,462.0512820512821,63.43589743589744,2,Unknown
62.0,842.258064516129,609.6774193548387,64.0,10,"Activated Fibroblasts (FSP1, CD140b, MMP14) "
126.0,838.6587301587301,672.4920634920635,63.23809523809524,0,Unknown
105.0,838.1904761904761,591.7047619047619,63.31428571428572,0,Unknown
105.0,832.8285714285714,640.4666666666667,63.63809523809524,9,Vascular progenitors cells
91.0,833.5384615384615,602.3516483516484,63.73626373626374,18,Cytotoxic T cells
26.0,831.2307692307693,683.7692307692307,64.0,0,Unknown
56.0,831.1607142857143,479.75,64.0,2,Unknown
51.0,829.9019607843137,630.7450980392157,64.0,9,Vascular progenitors cells
52.0,827.5192307692307,456.5384615384616,64.0,2,Unknown
50.0,827.5,439.36,64.0,9,Vascular progenitors cells
69.0,826.3913043478261,678.6231884057971,63.594202898550726,2,Unknown
59.0,825.7796610169491,580.5932203389831,64.0,11,Unknown
30.0,822.9333333333333,570.0,64.0,9,Vascular progenitors cells
74.0,821.0945945945946,381.7567567567568,63.648648648648646,2,Unknown
78.0,818.6538461538462,669.6282051282051,63.48717948717949,2,Unknown
109.0,819.3577981651376,600.954128440367,63.28440366972477,9,Vascular progenitors cells
101.0,817.1782178217821,503.53465346534654,63.742574257425744,2,Unknown
54.0,817.2407407407408,573.3333333333334,64.0,0,Unknown
77.0,814.2077922077922,626.987012987013,63.79220779220779,9,Vascular progenitors cells
46.0,814.8695652173913,613.6304347826087,64.0,0,Unknown
73.0,815.5205479452055,444.958904109589,63.72602739726028,9,Vascular progenitors cells
140.0,815.0428571428571,337.17857142857144,63.32857142857143,2,Unknown
44.0,810.7954545454545,434.1136363636364,64.0,2,Unknown
109.0,810.2935779816514,655.6238532110092,62.972477064220186,13,"Activated myeloid cells (MMP9, CD33)"
196.0,809.5714285714286,644.6071428571429,62.51020408163265,9,Vascular progenitors cells
38.0,810.3421052631579,600.6052631578947,64.0,0,Unknown
115.0,809.9826086956522,473.3478260869565,63.35652173913044,2,Unknown
56.0,808.3928571428571,583.125,64.0,0,Unknown
49.0,804.6938775510204,651.6122448979592,64.0,13,"Activated myeloid cells (MMP9, CD33)"
37.0,804.1891891891892,398.4324324324325,64.0,2,Unknown
