,Area,X,Y,Z,Clusters,Cells
0,66.0,1017.3484848484848,468.6363636363636,127.27272727272727,8,Unknown
1,30.0,969.3666666666668,441.6333333333333,128.0,8,Unknown
2,66.0,925.3636363636364,528.5,127.27272727272727,1,Unknown
3,139.0,915.0719424460432,566.043165467626,126.73381294964028,1,Unknown
4,39.0,912.1282051282052,529.8717948717949,128.0,8,Unknown
5,32.0,899.625,629.84375,128.0,8,Unknown
6,107.0,899.0747663551402,476.95327102803736,126.61682242990656,8,Unknown
7,116.0,897.3965517241379,509.4051724137931,126.6896551724138,8,Unknown
8,129.0,889.1395348837209,480.6046511627907,126.66666666666667,8,Unknown
9,33.0,888.7272727272727,632.1515151515151,128.0,8,Unknown
10,83.0,883.1927710843373,449.51807228915663,126.8433734939759,8,Unknown
11,123.0,882.7886178861788,435.5284552845528,126.56910569105689,8,Unknown
12,154.0,875.8506493506494,638.9285714285714,126.83116883116884,12,MMP9 High cells
13,88.0,875.9886363636364,622.7727272727273,127.0,2,Potentially fibroblasts (fibronectin)
14,63.0,875.047619047619,432.6984126984127,127.17460317460318,8,Unknown
15,27.0,872.4814814814815,420.1111111111111,128.0,8,Unknown
16,45.0,865.7111111111111,619.1333333333333,128.0,3,Unknown
17,92.0,862.2717391304348,654.6739130434783,126.7391304347826,12,MMP9 High cells
18,50.0,861.02,630.08,128.0,12,MMP9 High cells
19,78.0,860.9230769230769,556.3461538461538,127.48717948717949,1,Unknown
20,47.0,860.7021276595744,543.2978723404256,128.0,5,Unknown
21,97.0,855.2783505154639,659.8453608247422,126.76288659793815,12,MMP9 High cells
22,67.0,853.1641791044776,629.2835820895523,127.40298507462688,12,MMP9 High cells
23,89.0,853.3595505617977,609.2471910112359,126.69662921348315,1,Unknown
24,30.0,851.0,400.5,128.0,8,Unknown
25,143.0,850.4265734265734,648.6013986013986,127.41258741258741,7,Unknown
26,56.0,848.4464285714286,636.8928571428571,127.21428571428571,1,Unknown
27,27.0,845.3703703703703,643.1111111111111,128.0,7,Unknown
28,78.0,844.4102564102565,462.0512820512821,126.87179487179488,8,Unknown
29,62.0,842.258064516129,609.6774193548387,128.0,5,Unknown
30,126.0,838.6587301587301,672.4920634920635,126.47619047619048,5,Unknown
31,105.0,838.1904761904761,591.7047619047619,126.62857142857143,1,Unknown
32,105.0,832.8285714285714,640.4666666666667,127.27619047619048,7,Unknown
33,91.0,833.5384615384615,602.3516483516484,127.47252747252747,17,Cytotoxic T cells (CD8a)
34,26.0,831.2307692307693,683.7692307692307,128.0,1,Unknown
35,56.0,831.1607142857143,479.75,128.0,1,Unknown
36,51.0,829.9019607843137,630.7450980392157,128.0,7,Unknown
37,52.0,827.5192307692307,456.5384615384616,128.0,1,Unknown
38,50.0,827.5,439.36,128.0,7,Unknown
39,69.0,826.3913043478261,678.6231884057971,127.18840579710145,8,Unknown
40,59.0,825.7796610169491,580.5932203389831,128.0,10,"Potentially breast cancer (PanCK, GATA3)"
41,30.0,822.9333333333333,570.0,128.0,1,Unknown
42,74.0,821.0945945945946,381.7567567567568,127.29729729729729,1,Unknown
43,78.0,818.6538461538462,669.6282051282051,126.97435897435898,8,Unknown
44,109.0,819.3577981651376,600.954128440367,126.56880733944953,7,Unknown
45,101.0,817.1782178217821,503.53465346534654,127.48514851485149,1,Unknown
46,54.0,817.2407407407408,573.3333333333334,128.0,5,Unknown
47,77.0,814.2077922077922,626.987012987013,127.58441558441557,1,Unknown
48,46.0,814.8695652173913,613.6304347826087,128.0,5,Unknown
49,73.0,815.5205479452055,444.958904109589,127.45205479452055,7,Unknown
50,140.0,815.0428571428571,337.17857142857144,126.65714285714286,8,Unknown
51,44.0,810.7954545454545,434.1136363636364,128.0,8,Unknown
52,109.0,810.2935779816514,655.6238532110092,125.94495412844037,12,MMP9 High cells
53,196.0,809.5714285714286,644.6071428571429,125.0204081632653,7,Unknown
54,38.0,810.3421052631579,600.6052631578947,128.0,1,Unknown
55,115.0,809.9826086956522,473.3478260869565,126.71304347826086,1,Unknown
56,56.0,808.3928571428571,583.125,128.0,1,Unknown
57,49.0,804.6938775510204,651.6122448979592,128.0,12,MMP9 High cells
58,37.0,804.1891891891892,398.4324324324325,128.0,8,Unknown
59,46.0,803.6521739130435,563.6304347826087,128.0,1,Unknown
