,X,Y,Z,cluster,cell
13,403.32304332587114,78.2160951641971,62.145731145976995,2,Potentially fibroblasts (fibronectin)
60,330.3844069622347,11.610034558136476,63.145731145976995,4,Potentially fibroblasts (fibronectin)
96,297.7554595938137,-38.97768474010917,63.145731145976995,2,Potentially fibroblasts (fibronectin)
104,289.19927182709966,-11.475551027449114,63.145731145976995,2,Potentially fibroblasts (fibronectin)
107,285.3603809882088,-29.063125615023637,62.782094782340636,4,Potentially fibroblasts (fibronectin)
120,273.5791986289014,-123.21288210853015,61.29156447931031,9,Potentially fibroblasts (fibronectin)
128,271.3442108838034,-23.24290661833402,62.55749585185936,9,Potentially fibroblasts (fibronectin)
132,267.92369267652043,-192.82448925138732,63.145731145976995,9,Potentially fibroblasts (fibronectin)
148,254.94551807334585,-105.94552099741907,63.145731145976995,4,Potentially fibroblasts (fibronectin)
152,249.5948236289014,41.18295122480322,61.72906447931031,4,Potentially fibroblasts (fibronectin)
157,244.29028931517598,28.222779656175703,63.145731145976995,9,Potentially fibroblasts (fibronectin)
158,244.54551807334587,-9.912187664085764,62.07906447931032,4,Potentially fibroblasts (fibronectin)
161,242.79092870136515,155.63902006538285,62.45007897206395,9,Potentially fibroblasts (fibronectin)
163,243.09756485697164,-34.72110579274067,61.77731009334539,9,Potentially fibroblasts (fibronectin)
165,240.19881374189583,4.189130603334206,63.145731145976995,4,Potentially fibroblasts (fibronectin)
170,238.59594542377317,37.612598660700655,62.40726960751546,4,Potentially fibroblasts (fibronectin)
176,232.36381872694062,-23.90957328500076,63.145731145976995,11,Potentional fibroblasts (fibronectin)
178,231.5132687508526,-3.3371199134081735,61.58475553622088,4,Potentially fibroblasts (fibronectin)
182,227.26463952037432,41.32708882170243,63.145731145976995,9,Potentially fibroblasts (fibronectin)
183,226.98440696223474,20.593367891469825,63.145731145976995,9,Potentially fibroblasts (fibronectin)
184,227.51440696223472,-16.123298775196872,62.02573114597699,4,Potentially fibroblasts (fibronectin)
186,223.57885140667918,-50.24552099741902,63.145731145976995,9,Potentially fibroblasts (fibronectin)
187,222.9088750473411,47.08166576381029,63.145731145976995,9,Potentially fibroblasts (fibronectin)
195,216.50832000571302,39.44336789146985,63.145731145976995,2,Potentially fibroblasts (fibronectin)
200,216.24006733959322,-23.87738682551128,63.145731145976995,9,Potentially fibroblasts (fibronectin)
203,213.6007113100609,61.38902006538285,60.75442679815092,2,Potentially fibroblasts (fibronectin)
209,209.1629783908062,-17.928060679958776,63.145731145976995,2,Potentially fibroblasts (fibronectin)
219,202.80640696223475,24.27536789146984,62.057731145977,2,Potentially fibroblasts (fibronectin)
226,197.35080040485775,-37.245156698694075,62.55556721155075,2,Potentially fibroblasts (fibronectin)
228,195.18289181071964,36.95851940662135,62.23664023688612,2,Potentially fibroblasts (fibronectin)
237,189.29557201077841,-73.27507871047192,62.09718745665661,2,Potentially fibroblasts (fibronectin)
240,188.24349787132564,-26.920268472166526,63.145731145976995,4,Potentially fibroblasts (fibronectin)
241,186.65793637399952,-97.70369093205954,63.145731145976995,4,Potentially fibroblasts (fibronectin)
243,186.90801102314845,7.30123591177437,61.46045195815974,2,Potentially fibroblasts (fibronectin)
245,184.90282801486637,61.13810473357512,62.21941535650332,9,Potentially fibroblasts (fibronectin)
247,182.0523556801835,37.54080378890569,59.43291063315648,2,Potentially fibroblasts (fibronectin)
248,182.3432565197569,20.14248293571768,61.48201433181771,2,Potentially fibroblasts (fibronectin)
254,177.2419699874448,116.34252755533544,62.40623534765767,9,Potentially fibroblasts (fibronectin)
255,176.19804332587114,33.30700425510622,63.145731145976995,2,Potentially fibroblasts (fibronectin)
256,175.72329585112368,98.22114566924768,63.145731145976995,2,Potentially fibroblasts (fibronectin)
259,173.59654288456488,42.55987274583879,58.75738163141389,4,Potentially fibroblasts (fibronectin)
260,174.60713423496202,-63.24754119943924,63.145731145976995,2,Potentially fibroblasts (fibronectin)
261,173.5344069622348,23.77064061874262,63.145731145976995,4,Potentially fibroblasts (fibronectin)
265,168.03811066593846,138.4557135704822,61.96054596079179,2,Potentially fibroblasts (fibronectin)
266,167.8427402955681,104.2100345581365,61.345731145977,2,Potentially fibroblasts (fibronectin)
270,166.0735373970174,-69.99141471722578,63.145731145976995,9,Potentially fibroblasts (fibronectin)
272,164.82012124794903,-91.18996544186348,60.898112098357956,4,Potentially fibroblasts (fibronectin)
276,162.40220357240423,90.32472382367325,61.789798942587154,4,Potentially fibroblasts (fibronectin)
277,162.40757769394213,84.52873374512842,61.73109699963551,4,Potentially fibroblasts (fibronectin)
278,163.4529967058245,-24.662401339299436,59.09444909469494,4,Potentially fibroblasts (fibronectin)
281,155.61100270691566,-92.17365338512587,61.44360348640254,4,Potentially fibroblasts (fibronectin)
283,156.5010736289014,79.77670122480322,63.145731145976995,4,Potentially fibroblasts (fibronectin)
285,155.20790093813844,19.310837770987973,60.90476729055531,4,Potentially fibroblasts (fibronectin)
287,153.8377626669328,5.953435005563847,60.998080139265596,4,Potentially fibroblasts (fibronectin)
292,150.6170156578869,-115.75228428244327,63.145731145976995,2,Potentially fibroblasts (fibronectin)
294,149.47599988258878,-46.689375471361984,61.58820902208319,4,Potentially fibroblasts (fibronectin)
303,141.80057237576864,-55.955128349131655,61.491595807631114,4,Potentially fibroblasts (fibronectin)
305,140.32098414344284,3.121220240463117,61.53499289094344,4,Potentially fibroblasts (fibronectin)
306,140.91902234685017,-44.848939800837854,61.97650037674623,4,Potentially fibroblasts (fibronectin)
307,139.27885140667922,-99.38996544186347,63.145731145976995,9,Potentially fibroblasts (fibronectin)
311,138.97726410509188,-88.2352035371016,63.145731145976995,9,Potentially fibroblasts (fibronectin)
313,138.58043870826646,78.68939963750154,62.03462003486588,4,Potentially fibroblasts (fibronectin)
314,137.16049391875652,167.94336789146985,63.145731145976995,4,Potentially fibroblasts (fibronectin)
