x,y,z,cluster,cell
-836.9071031463299,265.76913759538047,-23.033309906467235,4,DG hippocampus cells
-771.3693074045239,295.3696732278395,-24.335988163000994,4,DG hippocampus cells
-758.7234187403639,323.4181095163035,-23.503752232202523,4,DG hippocampus cells
-349.8357290058568,-342.85410605583655,-22.072678000655813,4,DG hippocampus cells
-365.3694440868969,-310.02249031940056,-24.694175737996563,4,DG hippocampus cells
-349.69107908491674,-304.63568948940656,-25.668084410120414,4,DG hippocampus cells
-275.5837239273769,-291.34886962324856,-23.666043144179383,4,DG hippocampus cells
-363.4903050643668,-279.7316678680826,-24.394304374880875,4,DG hippocampus cells
-342.2219419916469,-276.23912496101156,-24.979476345431703,4,DG hippocampus cells
-327.9170333930367,-280.2131484149976,-24.436494114449474,4,DG hippocampus cells
-335.39582718450674,-271.7290505364675,-22.590947304750284,4,DG hippocampus cells
-370.6627405018769,-272.8364942023005,-24.451159677453585,4,DG hippocampus cells
-352.8452269715867,-272.5725131287526,-24.275973631330853,4,DG hippocampus cells
-347.29003036301674,-267.7074169036175,-21.941058438624314,4,DG hippocampus cells
-408.5094886180168,-271.4061196225375,-20.055100323131114,4,DG hippocampus cells
-412.40032931958683,-258.7846621720056,-24.577448372110275,4,DG hippocampus cells
-369.9999204924068,-263.9348337551995,-25.562420136095174,4,DG hippocampus cells
-362.6225046333868,-259.7462021830215,-19.696463871684813,4,DG hippocampus cells
-378.67244804224674,-259.59000398995056,-23.801969014378216,4,DG hippocampus cells
-393.09112107270676,-255.88309126666957,-23.747249677788325,4,DG hippocampus cells
-342.91774234384684,-258.3513718286915,-20.985147973100013,4,DG hippocampus cells
-303.8531713184468,-247.96170374667855,-22.969585590157813,4,DG hippocampus cells
-402.0582405810168,-254.18245534552455,-23.238198141604926,4,DG hippocampus cells
-343.6803118234068,-247.83406064250457,-23.505420799538914,4,DG hippocampus cells
-250.5975767388568,-251.00984496693755,-25.225605959408362,4,DG hippocampus cells
-360.17419954307684,-246.01636175480957,-22.307323057503545,4,DG hippocampus cells
-339.58771984723694,-232.44557854326055,-25.735919227185775,4,DG hippocampus cells
-361.44175164854687,-231.11139086820856,-23.722192474436085,4,DG hippocampus cells
-405.9664194898369,-227.67710692011855,-25.491408500473476,4,DG hippocampus cells
-332.07725747454674,-229.36823921560955,-22.533089063467465,4,DG hippocampus cells
-277.1336640551767,-219.39330292524954,-24.131501508139692,4,DG hippocampus cells
