x,y,z,cluster,cell
410.495078839571,317.903507098367,22.6635205656248,7,Exeendoderm cells
412.713370342956,299.613177892919,18.4971428571429,9,Col4a1+ Parietal endoderm cells
441.955845993757,312.416757544225,20.5450322580645,0,
431.074064906491,323.333454345435,18.7143509350935,9,Col4a1+ Parietal endoderm cells
395.507731951735,339.498744290681,19.2356397845797,9,Col4a1+ Parietal endoderm cells
431.951233126834,295.335686990545,19.7843469188132,7,Exeendoderm cells
441.727471722785,266.775911082053,20.1342844066688,9,Col4a1+ Parietal endoderm cells
416.120723714576,330.182047447614,21.5613994276747,7,Exeendoderm cells
388.550572360283,252.025662880918,23.6192443494884,9,Col4a1+ Parietal endoderm cells
419.983739874501,268.636983456931,22.2106149458072,9,Col4a1+ Parietal endoderm cells
387.196204880016,294.29703569268,20.0574873966526,9,Col4a1+ Parietal endoderm cells
432.678069432684,334.187366638442,22.4390177815411,7,Exeendoderm cells
418.463711161803,288.89155667427,24.7502084480453,7,Exeendoderm cells
397.642192068022,324.206084677654,23.8340550928892,7,Exeendoderm cells
429.859901960784,352.273039215686,24.3748692810458,9,Col4a1+ Parietal endoderm cells
371.275173540754,239.300845806916,23.4201555657233,9,Col4a1+ Parietal endoderm cells
386.357451270945,234.376796990767,23.5982081386071,9,Col4a1+ Parietal endoderm cells
443.928884122879,299.160956285876,26.2019907903867,0,
404.470305338968,343.006744836617,26.5301827272186,7,Exeendoderm cells
404.421935627575,264.251444481568,25.9378594498274,7,Exeendoderm cells
425.673049239572,286.412570396025,28.0010721276916,0,
357.069729878216,236.60423770717,25.122366083692,9,Col4a1+ Parietal endoderm cells
358.177054299697,244.898853414123,26.0077557678863,9,Col4a1+ Parietal endoderm cells
358.465049542976,255.147292418773,24.0834011828866,9,Col4a1+ Parietal endoderm cells
399.5521749651,253.761693811075,25.7250218706375,7,Exeendoderm cells
439.919555840273,282.641264146914,24.0354815289344,7,Exeendoderm cells
399.435983639426,306.27962466918,26.2396695805598,7,Exeendoderm cells
375.60074941452,318.113805620609,24.2890944574551,9,Col4a1+ Parietal endoderm cells
48.6048857885378,320.732849131446,26.0731172206265,0,
43.589009420815,329.235105635766,23.6078666592341,8,Endothelium cells
424.007120658135,326.72133150518,30.7374344911639,7,Exeendoderm cells
454.665048792193,323.986162214046,25.0323308270677,7,Exeendoderm cells
75.3005622769606,343.977171207242,23.7361058403691,8,Endothelium cells
65.2019667632261,355.106644305534,25.4830522945571,8,Endothelium cells
89.0230458715596,354.703449541284,23.0776,8,Endothelium cells
293.080097812098,382.765240669241,25.6043449163449,8,Endothelium cells
302.751199859254,396.305869106263,25.4593701618578,8,Endothelium cells
37.1522791254867,448.830548068284,23.1270739742438,8,Endothelium cells
401.977411953042,272.574274279616,26.2968356456777,7,Exeendoderm cells
457.875750600734,279.442357404831,24.9188314152017,0,
387.901206885181,314.847705599156,28.8845716546858,7,Exeendoderm cells
103.318356463434,326.350070169967,25.9261312958054,0,
87.8097276940904,342.789513325608,25.2595422943221,8,Endothelium cells
389.236693755033,337.3141284135,28.491766600776,7,Exeendoderm cells
406.379266917293,357.446338345865,27.2579210526316,7,Exeendoderm cells
368.053658295187,371.121066435729,28.7756278609427,9,Col4a1+ Parietal endoderm cells
368.524922946115,291.856894462748,26.0164140716335,9,Col4a1+ Parietal endoderm cells
404.283277435789,291.742149579,29.3651906884596,7,Exeendoderm cells
374.436123893805,355.500147492625,27.5449675516224,7,Exeendoderm cells
392.797543593632,365.079272175891,28.467293404094,7,Exeendoderm cells
418.298796981464,253.380124551249,26.7022990695289,7,Exeendoderm cells
467.204023690542,287.020992041458,27.0931741625023,7,Exeendoderm cells
417.862077365513,356.148920717266,27.6440374422014,7,Exeendoderm cells
278.472427063935,385.063389199255,28.3247755017587,8,Endothelium cells
10.4543024227235,453.353441938179,27.9522807017544,5,Mesenchyme cells
383.478711409396,228.284738961498,31.7593811374073,0,
395.227239517519,278.032321654222,30.7233681792074,7,Exeendoderm cells
408.619368252699,279.801583366653,29.9421863254698,7,Exeendoderm cells
416.105460503218,308.060231714453,28.889362200117,0,
375.531129256235,348.437549297339,38.7902149641726,3,Anterior primitive streak cells
386.621085720914,354.843783783784,28.50922166802,7,Exeendoderm cells
318.138328686101,392.429346852556,29.2890713983946,0,
198.568356234845,400.885802042766,27.6412344771842,8,Endothelium cells
440.47964553094,269.049271199389,28.0970022918258,7,Exeendoderm cells
41.6828346080306,311.118274378585,29.7705592734226,8,Endothelium cells
380.839391056137,327.065610529654,31.2139359340311,7,Exeendoderm cells
413.10862529458,235.820141398272,29.9975805184603,9,Col4a1+ Parietal endoderm cells
455.015411587911,260.577739188512,31.154546668893,7,Exeendoderm cells
390.090595816846,266.564992651215,29.9241334087055,7,Exeendoderm cells
395.702152686763,293.906785714286,32.1701015727392,0,
75.9777720258835,303.244949726232,28.7703653558985,8,Endothelium cells
62.7784592494627,332.481415109936,31.1722764093239,8,Endothelium cells
299.753683864607,384.896122247782,30.5736247124548,5,Mesenchyme cells
381.30661744347,251.192874942317,29.9332348869405,7,Exeendoderm cells
452.411843575419,249.43861452514,29.9814078212291,9,Col4a1+ Parietal endoderm cells
290.024524741082,260.695088607595,31.1060529344074,9,Col4a1+ Parietal endoderm cells
379.914357521252,286.469838610324,32.4476284341506,7,Exeendoderm cells
381.865495930057,304.386671691287,31.9886222490202,7,Exeendoderm cells
118.80907635163,315.950411886092,32.8503078827899,8,Endothelium cells
91.2334771480804,334.168731261426,28.0193491773309,8,Endothelium cells
88.3041775486185,378.257698817463,29.579149246203,0,
331.863878172589,253.909157360406,30.8866598984772,0,
434.059047917319,271.95373003445,31.7256185405575,3,Anterior primitive streak cells
115.368380835002,324.724778924665,29.6202126020644,8,Endothelium cells
415.332041581824,335.561388918658,33.6665866466617,1,Epiblast cells
143.597162616084,403.381566225384,31.1275294737535,8,Endothelium cells
379.399256007025,276.44772411591,33.7545876905883,7,Exeendoderm cells
387.817658839167,282.080301284891,32.9545449712007,7,Exeendoderm cells
354.412691843859,286.996003808315,30.6418787686449,9,Col4a1+ Parietal endoderm cells
431.945673076923,291.267259615385,31.0178846153846,0,
98.7381664514614,339.336349336777,34.5015940838127,8,Endothelium cells
80.5368224299066,350.731458510337,32.1283715661286,8,Endothelium cells
86.4553733333333,366.52668,31.2506133333333,8,Endothelium cells
309.591667566109,385.213001310616,32.7556703415311,8,Endothelium cells
372.586821418122,254.769468448259,33.3514600604701,7,Exeendoderm cells
221.592743857036,270.260852568876,32.4404206999255,9,Col4a1+ Parietal endoderm cells
196.723861099118,281.860879541109,33.6273829642879,8,Endothelium cells
387.959703343465,293.632904559271,32.4334589665654,7,Exeendoderm cells
473.681531473069,309.850655418559,32.5335193597231,7,Exeendoderm cells
52.1118686140538,339.960666959193,34.684029336175,8,Endothelium cells
377.128979693534,268.454291765292,34.8368904945808,7,Exeendoderm cells
464.364629938787,266.944859951772,33.5360452606196,6,Amot+ Allantois cells
448.78391665255,267.564445197357,33.2675351516178,6,Amot+ Allantois cells
110.003640484701,310.836471101037,33.769265103304,8,Endothelium cells
130.472239565887,314.060979433242,33.3933570040866,8,Endothelium cells
108.595112744039,336.112888120452,34.9483380159931,8,Endothelium cells
372.054313947837,334.827267131055,34.323706463632,7,Exeendoderm cells
159.668632883077,380.067879205025,32.155264561645,8,Endothelium cells
150.638674242424,391.106856060606,32.3193939393939,8,Endothelium cells
351.207713340684,252.546456449835,33.6782844542448,7,Exeendoderm cells
458.099797471706,279.968426765504,33.0629346746972,3,Anterior primitive streak cells
41.5886152971282,322.602817742394,40.641688939437,8,Endothelium cells
417.616384293402,340.321498903727,39.5860235200319,1,Epiblast cells
4.72833692899353,344.574846637276,35.4263352405966,8,Endothelium cells
41.7437375178317,353.384022824536,32.0005135520685,8,Endothelium cells
402.264355888941,378.007061520029,36.5030952753034,0,
299.569735728393,262.268575190445,35.3633744004514,9,Col4a1+ Parietal endoderm cells
417.81068344695,282.178668065024,34.982066072365,3,Anterior primitive streak cells
