x,y,z,cluster,cell
220.724258578494,-22.795002677432024,-136.33954040541354,7,Exeendoderm cells
242.18041286575695,-45.362822785254025,-139.21871405222515,7,Exeendoderm cells
226.34990345349897,-10.516462328185014,-137.44166154336364,7,Exeendoderm cells
242.907249171607,-6.511143137357067,-136.56404318949723,7,Exeendoderm cells
228.69289090072598,-51.80695310152902,-134.25285252299304,7,Exeendoderm cells
207.87137180694495,-16.49242509814502,-135.16900587814914,7,Exeendoderm cells
214.69948507789096,2.3082350608179354,-132.47287824381974,7,Exeendoderm cells
214.65111536649798,-76.44706529423104,-133.06520152121095,7,Exeendoderm cells
209.78135470402296,-86.93681596472405,-133.27803910040083,7,Exeendoderm cells
250.14873557919597,-58.05724562888503,-134.96757944210393,7,Exeendoderm cells
209.66516337834898,-34.41888510661903,-132.76339139047855,7,Exeendoderm cells
234.236300397058,-13.97717827061905,-128.26562647987444,7,Exeendoderm cells
264.8942285311159,-16.712347561753063,-133.97073014397063,7,Exeendoderm cells
212.20659169196497,-68.12423549618302,-132.70622532536063,7,Exeendoderm cells
198.13038662410398,-25.850804176643067,-130.11848931635254,7,Exeendoderm cells
199.46587349395597,-3.3843813622990524,-130.51129437026233,7,Exeendoderm cells
216.608446656216,16.747828570065963,-131.74513991840675,7,Exeendoderm cells
214.51245717471195,-48.95636019679904,-129.63787028257875,7,Exeendoderm cells
184.66530363272798,14.801637716825951,-131.45809341941595,7,Exeendoderm cells
203.02672333255495,24.380762400091953,-130.53576756694434,7,Exeendoderm cells
228.527976720387,-87.31838522455004,-132.30076190150945,7,Exeendoderm cells
277.4332034294649,-53.67751773434105,-131.90988680853604,7,Exeendoderm cells
228.09125710443598,15.450410941466941,-131.35902352883693,7,Exeendoderm cells
205.456419256442,-62.66618812157702,-128.27969279183094,7,Exeendoderm cells
218.84854799162198,-60.89692640914603,-129.06087464556853,7,Exeendoderm cells
196.85026545983695,14.145274007984938,-130.49383930301835,7,Exeendoderm cells
250.70882526986296,-71.64923857641003,-130.90605867921255,7,Exeendoderm cells
191.06857079505997,-13.63289924614503,-127.78912503700724,7,Exeendoderm cells
265.244591326834,-80.12077058728704,-127.84851430214533,7,Exeendoderm cells
200.31977555576898,-74.13351712458405,-129.07892756233284,7,Exeendoderm cells
191.53579718239294,-89.50563483348205,-129.06982608409783,7,Exeendoderm cells
190.14353726017495,-54.22867116547502,-126.55543253688774,7,Exeendoderm cells
