,X,Y,Z,cluster,cell
316,71.28498429142246,-331.28993537794787,57.86783351558556,16,Macrophages (CD68)
330,62.04518837305511,-51.82156803100912,59.239262087014126,16,Macrophages (CD68)
388,30.24270186120907,-341.0305757720365,57.859951742186524,16,Macrophages (CD68)
704,-103.17930142286326,321.0600646220521,59.239262087014126,16,Macrophages (CD68)
914,-201.52453951810134,-78.14072902874153,59.239262087014126,16,Macrophages (CD68)
1521,-98.65665333923954,287.6241761203099,55.775847452867765,16,Macrophages (CD68)
1737,-296.28969103325284,-85.32759771561024,55.239262087014126,16,Macrophages (CD68)
1831,-373.6463343898962,-75.7454298834424,55.239262087014126,16,Macrophages (CD68)
2214,65.97962714856533,99.00649319348065,51.41426208701412,16,Macrophages (CD68)
2705,-317.3620627955687,-275.2299593204858,49.56328443338285,16,Macrophages (CD68)
2972,57.73828099471916,320.4853393473269,47.239262087014126,16,Macrophages (CD68)
3054,-39.416163006875024,408.4687988929627,47.591593693231744,16,Macrophages (CD68)
3199,-207.60787285143465,-317.110814498827,47.239262087014126,16,Macrophages (CD68)
3516,423.32394533038337,-94.66093104894355,43.239262087014126,16,Macrophages (CD68)
3530,297.02307952951776,92.59736620935371,44.79481764256968,16,Macrophages (CD68)
3749,-4.929301422863205,141.5948860506236,47.632119229871265,16,Macrophages (CD68)
3791,-34.87743806882594,412.2314931934807,42.2305664348402,16,Macrophages (CD68)
3903,-125.12961198186946,-452.298941589128,43.239262087014126,16,Macrophages (CD68)
3907,-127.76263475619658,-266.2756496636621,44.66783351558557,16,Macrophages (CD68)
4049,-262.40585264941444,-274.2829849209974,41.01703986479188,16,Macrophages (CD68)
4052,-270.701040553298,-267.18714034689197,44.30758506838059,16,Macrophages (CD68)
4154,52.4181011745394,306.44188280387027,40.64185948961152,16,Macrophages (CD68)
4351,128.24506832503596,117.30208142877484,40.533379734072966,16,Macrophages (CD68)
4568,-117.77629390406622,-290.6737699644141,39.365577876487805,16,Macrophages (CD68)
4577,-126.54609678965858,-259.4078890459016,41.10798795574,16,Macrophages (CD68)
4588,-134.2714242533038,308.4576614177797,37.33272003093937,16,Macrophages (CD68)
4639,-179.60787285143465,-273.1685068065193,39.239262087014126,16,Macrophages (CD68)
4692,-220.79391936306257,-273.9010649460542,39.239262087014126,16,Macrophages (CD68)
4696,-223.41696376052556,-279.0503249883375,39.20289845065048,16,Macrophages (CD68)
5014,-232.23382704990792,-253.17614039430558,36.79651399541109,16,Macrophages (CD68)
5033,362.2235878227226,43.640481957525594,36.00330703083435,16,Macrophages (CD68)
5034,354.0161872989413,59.95179394536035,35.14903652310437,16,Macrophages (CD68)
5061,287.44802776968334,281.99298387671047,35.88522481993337,16,Macrophages (CD68)
5409,-102.58009507365688,-232.1685068065193,35.239262087014126,16,Macrophages (CD68)
5509,-183.92159834163073,-255.69791857122522,35.239262087014126,16,Macrophages (CD68)
5548,-221.22575903029644,-268.7701328227795,35.401863713030366,16,Macrophages (CD68)
5837,317.00798080710194,0.17905416909047744,32.11731086750193,16,Macrophages (CD68)
5922,108.89212714856535,-33.39072902874153,31.239262087014126,16,Macrophages (CD68)
5953,57.87383446563854,410.40466392518806,31.239262087014126,16,Macrophages (CD68)
6089,-107.52057126413303,-243.9939036319161,30.953547801299848,16,Macrophages (CD68)
6172,-229.12639136995318,-267.79813643614887,31.239262087014126,16,Macrophages (CD68)
6217,-331.6213863649482,67.30446616645372,29.779802627554687,16,Macrophages (CD68)
6498,236.69278074333658,-46.044323799983374,27.86671306740628,16,Macrophages (CD68)
6507,221.35280130586875,377.15733589010995,27.50892500836244,16,Macrophages (CD68)
6574,125.07394533038348,117.58906895105645,28.815019662771704,16,Macrophages (CD68)
6685,36.121856878295034,318.9396013015888,27.239262087014126,16,Macrophages (CD68)
6702,23.335523374980426,-245.37605397633064,25.46567718135377,16,Macrophages (CD68)
6715,12.83330361915364,353.50796378171594,27.239262087014126,16,Macrophages (CD68)
6756,-13.224151921202065,335.1919583097598,27.425308598642047,16,Macrophages (CD68)
6774,-28.10787285143465,-303.1685068065193,25.722020707703763,16,Macrophages (CD68)
6974,-153.71684721040907,-278.5467119347244,27.187980035732068,16,Macrophages (CD68)
7016,-181.5120395181013,-252.5060068065193,27.57259542034744,16,Macrophages (CD68)
7115,-243.3381360093294,-265.87245417494034,27.08136735017203,16,Macrophages (CD68)
7124,-250.08592163192247,-275.8367994894461,27.414871843111683,16,Macrophages (CD68)
7383,266.97007391662623,201.18130307941226,25.946486421614892,16,Macrophages (CD68)
